"title","author","journal","number","cites","year","cid","pubid","complete_authors_fetched"
"Land carbon models underestimate the severity and duration of drought’s impact on plant productivity","HR Kolus, DN Huntzinger, CR Schwalm, JB Fisher, N McKay, Y Fang, AM Michalak, K Schaefer, Y Wei, B Poulter, J Mao, NC Parazoo, X Shi","Scientific Reports","9 (1), 2758",72,2019,"6345837912617900242","SAZ1SQo2q1kC","TRUE"
"Holocene climate and glacier variability at Hallet and Greyling Lakes, Chugach Mountains, south-central Alaska","NP McKay, DS Kaufman","Journal of Paleolimnology","41 (1), 143-159",68,2009,"45610538396424633","d1gkVwhDpl0C","TRUE"
"A wetter Arctic coincident with hemispheric warming 8,000 years ago","EK Thomas, IS Castañeda, NP McKay, JP Briner, JM Salacup, KQ Nguyen, AD Schweinsberg","Geophysical research letters","45 (19), 10,637-10,647",66,2018,"17490057190094655378","zdjWy_NXXwUC","TRUE"
"North Atlantic-Fennoscandian Holocene climate trends and mechanisms","HP Sejrup, H Seppä, NP McKay, DS Kaufman, Ás Geirsdóttir, Ad Vernal, H Renssen, K Husum, A Jennings, JT Andrews","Quaternary Science Reviews","147, 365-378",65,2016,"10936696647875055735","QUX0mv85b1cC","TRUE"
"CO2 and fire influence tropical ecosystem stability in response to climate change","TM Shanahan, KA Hughen, NP McKay, JT Overpeck, CA Scholz, WD Gosling, CS Miller, JA Peck, JW King, CW Heil","Scientific reports","6 (1), 29587",63,2016,"11375898628875658412","TlpoogIpr_IC","TRUE"
"Climate models can correctly simulate the continuum of global-average temperature variability","F Zhu, J Emile-Geay, NP McKay, GJ Hakim, D Khider, TR Ault, EJ Steig, S Dee, JW Kirchner","Proceedings of the National Academy of Sciences","116 (18), 8728-8733",62,2019,"5296967041345897838","-6RzNnnwWf8C","TRUE"
"geoChronR–an R package to model, analyze, and visualize age-uncertain data","NP McKay, J Emile-Geay, D Khider","Geochronology","3 (1), 149-169",59,2021,"17695777420022172965","aDl3D7KC1E4C","TRUE"
"Fragility of reconstructed temperature patterns over the Common Era: Implications for model evaluation","J Wang, J Emile‐Geay, D Guillot, NP McKay, B Rajaratnam","Geophysical Research Letters","42 (17), 7162-7170",58,2015,"15665977836438725232","YsrPvlHIBpEC","TRUE"
"Reconstructing Holocene temperatures in time and space using paleoclimate data assimilation","MP Erb, NP McKay, N Steiger, S Dee, C Hancock, RF Ivanovic, LJ Gregoire, P Valdes","Climate of the Past","18 (12), 2599-2629",56,2022,"10359734006040296530","Vr2j17o0sqMC","TRUE"
"Age models for long lacustrine sediment records using multiple dating approaches–An example from Lake Bosumtwi, Ghana","TM Shanahan, JA Peck, N McKay, CWH Jr, J King, SL Forman, DL Hoffmann, DA Richards, JT Overpeck, C Scholz","Quaternary Geochronology","15, 47-60",54,2013,"6148929837324383390","eQOLeE2rZwMC","TRUE"
"A global mean sea-surface temperature dataset for the Last Interglacial (129–116 kyr) and contribution of thermal expansion to sea-level change","CSM Turney, R Jones, NP McKay, EV Sebille, ZëA Thomas, C-D Hillenbrand, CJ Fogwill","Earth System Science Data Discussions","2020, 1-21",53,2020,"4755870323380051288","SxCCDk4iOpsC","TRUE"
"PaCTS 1.0: A crowdsourced reporting standard for paleoclimate data","D Khider, J Emile‐Geay, NP McKay, Y Gil, D Garijo, V Ratnakar, M Alonso‐Garcia, S Bertrand, O Bothe, P Brewer, A Bunn, M Chevalier, L Comas‐Bru, A Csank, E Dassié, K DeLong, T Felis, P Francus, A Frappier, W Gray, S Goring, L Jonkers, M Kahle, D Kaufman, NM Kehrwald, B Martrat, H McGregor, J Richey, A Schmittner, N Scroxton, E Sutherland, K Thirumalai, K Allen, F Arnaud, Y Axford, T Barrows, L Bazin, SEP Birch, E Bradley, J Bregy, E Capron, O Cartapanis, H‐W Chiang, KM Cobb, M Debret, Ré Dommain, J Du, K Dyez, S Emerick, MP Erb, G Falster, W Finsinger, D Fortier, N Gauthier, S George, E Grimm, J Hertzberg, F Hibbert, A Hillman, W Hobbs, M Huber, ALC Hughes, S Jaccard, J Ruan, M Kienast, B Konecky, GëlL Roux, V Lyubchich, VF Novello, L Olaka, JW Partin, C Pearce, SJ Phipps, Céc Pignol, N Piotrowska, M‐S Poli, A Prokopenko, F Schwanck, C Stepanek, GEA Swann, R Telford, E Thomas, Zé Thomas, S Truebe, LV Gunten, A Waite, N Weitzel, B Wilhelm, J Williams, JJ Williams, M Winstrup, N Zhao, Y Zhou","Paleoceanography and Paleoclimatology","34 (10), 1570-1596",50,2019,"5664505219168786223","c1e4I3QdEKYC","TRUE"
"Late Quaternary sedimentological and climate changes at Lake Bosumtwi Ghana: New constraints from laminae analysis and radiocarbon age modeling","TM Shanahan, JW Beck, JT Overpeck, NP McKay, JS Pigati, JA Peck, CA Scholz, CWH Jr, J King","Palaeogeography, Palaeoclimatology, Palaeoecology","361, 49-60",48,2012,"13433077032259428640","UeHWp8X0CEIC","TRUE"
"Placing the Common Era in a Holocene context: millennial to centennial patterns and trends in the hydroclimate of North America over the past 2000 years","BN Shuman, C Routson, N McKay, S Fritz, D Kaufman, ME Kirby, C Nolan, GT Pederson, J-M St-Jacques","Climate of the Past","14 (5), 665-686",47,2018,"14536044764571409535,5893054481186953893","hSRAE-fF4OAC","TRUE"
"The 4.2 ka event is not remarkable in the context of Holocene climate variability","NP McKay, DS Kaufman, SépH Arcusa, HR Kolus, DC Edge, MP Erb, CL Hancock, CC Routson, M Żarczyński, LP Marshall, GK Roberts, F Telles","Nature Communications","15 (1), 6555",41,2024,"13004494333308976275","TGkaJS32XoUC","TRUE"
"Holocene summer temperature reconstruction from sedimentary chlorophyll content, with treatment of age uncertainties, Kurupa Lake, Arctic Alaska","BR Boldt, DS Kaufman, NP McKay, JP Briner","The Holocene","25 (4), 641-650",38,2015,"8435783181608276342","HhcuHIWmDEUC","TRUE"
"Tipping elements and amplified polar warming during the Last Interglacial","ZëA Thomas, RT Jones, CSM Turney, N Golledge, C Fogwill, CJA Bradshaw, L Menviel, NP McKay, M Bird, J Palmer, P Kershaw, J Wilmshurst, R Muscheler","Quaternary Science Reviews","233, 106222",35,2020,"6444075797085841035","RuPIJ_LgqDgC","TRUE"
"Integrating palaeoclimate time series with rich metadata for uncertainty modelling: strategy and documentation of the PALMOD 130k marine palaeoclimate data synthesis","M.} Jonkers, L.a Cartapanis, O.a Langner, M.a McKay, N.P.a Mulitza, S.a Strack, A.a Kucera","Earth System Science Data","12, 1053-1081",35,2020,"6805554457091633657,13145278702085658141","nPT8s1NX_-sC","TRUE"
"Dust-drought interactions over the last 15,000 years: A network of lake sediment records from the San Juan Mountains, Colorado","SH Arcusa, NP McKay, CC Routson, SE Munoz","The Holocene","30 (4), 559-574",31,2020,"3037313408987812422","unp9ATQDT5gC","TRUE"
"Spatial and temporal variability in sedimentological and geochemical properties of sediments from an anoxic crater lake in West Africa: implications for paleoenvironmental …","TM Shanahan, N McKay, JT Overpeck, JA Peck, C Scholz, CWH Jr, J King","Palaeogeography, Palaeoclimatology, Palaeoecology","374, 96-109",30,2013,"8263539666049020994","WF5omc3nYNoC","TRUE"
"New approach to assessing age uncertainties–The 2300-year varve chronology from Eklutna Lake, Alaska (USA)","D Fortin, N Praet, NP McKay, DS Kaufman, BJL Jensen, PJ Haeussler, C Buchanan, MD Batist","Quaternary Science Reviews","203, 90-101",27,2019,"10409794326074802370","ghEM2AJqZyQC","TRUE"
"Identifying Hydro‐Sensitive Coral δ18O Records for Improved High‐Resolution Temperature and Salinity Reconstructions","DM Thompson, JL Conroy, BL Konecky, S Stevenson, KL DeLong, N McKay, E Reed, L Jonkers, M Carré","Geophysical Research Letters","49 (9), e2021GL096153",26,2022,"833653030611122813","QsKbpXNoaWkC","TRUE"
"Holocene precipitation seasonality in northern Svalbard: Influence of sea ice and regional ocean surface conditions","SE Kjellman, A Schomacker, EK Thomas, L Håkansson, S Duboscq, AA Cluett, WR Farnsworth, L Allaart, OC Cowling, NP McKay, S Brynjólfsson, Ól Ingólfsson","Quaternary Science Reviews","240, 106388",26,2020,"14313381012681380997","s9ia6_kGH2AC","TRUE"
"A community‐driven framework for climate reconstructions","D Kaufman","Eos, Transactions American Geophysical Union","95 (40), 361-362",26,2014,"7632045937143508692","YlPif8NxrbYC","TRUE"
"Teleconnected ocean forcing of Western North American droughts and pluvials during the last millennium","CC Routson, CA Woodhouse, JT Overpeck, JL Betancourt, NP McKay","Quaternary Science Reviews","146, 238-250",24,2016,"6650368082109088124","69ZgNCALVd0C","TRUE"
"Globally coherent water cycle response to temperature change during the past two millennia","BL Konecky, NP McKay, GM Falster, SL Stevenson, MJ Fischer, AR Atwood, DM Thompson, MD Jones, JJ Tyler, KL DeLong, B Martrat, EK Thomas, JL Conroy, SG Dee, L Jonkers, OV Churakova, Zán Kern, T Opel, TJ Porter, HR Sayani, G Skrzypek","Nature Geoscience","16 (11), 997-1004",23,2023,"6749054287532063110","VRfTbSk87rEC","TRUE"
"The CoralHydro2k Database: a global, actively curated compilation of coral δ18O and Sr / Ca proxy records of tropical ocean hydrology and temperature for the …","RM Walter, HR Sayani, T Felis, KM Cobb, NJ Abram, AK Arzey, AR Atwood, LD Brenner, ÉmP Dassié, KL DeLong, B Ellis, MJ Fischer, NF Goodkin, JA Hargreaves, KH Kilbourne, H Krawczyk, NP McKay, SA Murty, RD Ramos, EV Reed, D Samanta, SC Sanchez, J Zinke","Earth System Science Data Discussions","2022, 1-56",23,2022,"9122241106633313446","6VlyvFCUEfcC","TRUE"
"High latitude modulation of the Holocene North American monsoon","CC Routson, MP Erb, NP McKay","Geophysical Research Letters","49 (16), e2022GL099772",21,2022,"12734739644709944255","Azgs6IHzeyYC","TRUE"
"A multiproxy database of western North American Holocene paleoclimate records","CC Routson, DS Kaufman, NP McKay, MP Erb, SépH Arcusa, KJ Brown, ME Kirby, JP Marsicek, RS Anderson, G Jiménez-Moreno, JR Rodysill, MS Lachniet, SC Fritz, JR Bennett, MF Goman, SE Metcalfe, JM Galloway, G Schoups, DB Wahl, JL Morris, F Staines-Urías, A Dawson, BN Shuman, DG Gavin, JS Munroe, BF Cumming","Earth System Science Data","13 (4), 1613-1632",21,2021,"1641311397725943864","ijdKiLOsEJMC","TRUE"
"A bacterial index to estimate lake trophic level: National scale validation","JK Pearman, SA Wood, MJ Vandergoes, J Atalah, S Waters, J Adamson, G Thomson-Laing, L Thompson, JD Howarth, DP Hamilton, X Pochon, L Biessy, KA Brasell, J Dahl, R Ellison, SJ Fitzsimons, H Gard, T Gerrard, R Gregersen, MK Holloway, X Li, DJ Kelly, R Martin, K McFarlane, NP McKay, A Moody, CM Moy, S Naeher, R Newnham, R Parai, Mïl Picard, J Puddick, ABH Rees, L Reyes, M Schallenberg, C Shepherd, J Short, KS Simon, K Steiner, C Šunde, M Terezow, J Tibby","Science of the Total Environment","812, 152385",19,2022,"5712025174333332409","n3vGvpFsckwC","TRUE"
"A controlled crowdsourcing approach for practical ontology extensions and metadata annotations","Y Gil, D Garijo, V Ratnakar, D Khider, J Emile-Geay, N McKay","International Semantic Web Conference","231-246",19,2017,"564154004000149997","aIdbFUkbNIkC","TRUE"
"A 4,500‐year‐long record of southern Rocky Mountain dust deposition","CC Routson, SépH Arcusa, NP McKay, JT Overpeck","Geophysical Research Letters","46 (14), 8281-8288",18,2019,"11253549496075965664","MIg0yeAD4ggC","TRUE"
"Fluvial suspended sediment yields over hours to millennia in the High Arctic at proglacial Lake Linnévatnet, Svalbard","E Schiefer, D Kaufman, N McKay, M Retelle, A Werner, S Roof","Earth Surface Processes and Landforms","43 (2), 482-498",15,2018,"6788124065504908637","silx2ntsSuwC","TRUE"
"Dust‐drought nexus in the southwestern United States: A proxy‐model comparison approach","SH Arcusa, NP McKay, CM Carrillo, TR Ault","Paleoceanography and Paleoclimatology","35 (12), e2020PA004046",13,2020,"17345768179300991176","TaaCk18tZOkC","TRUE"
"On the potential of Raman‐spectroscopy‐based carbonate mass spectrometry","NP McKay, DL Dettman, RT Downs, JT Overpeck","Journal of Raman Spectroscopy","44 (3), 469-474",13,2013,"14939537725495718930","YsMSGLbcyi4C","TRUE"
"Global synthesis of regional Holocene hydroclimate variability using proxy and model data","CL Hancock, NP McKay, MP Erb, DS Kaufman, CR Routson, RF Ivanovic, LJ Gregoire, P Valdes","Paleoceanography and Paleoclimatology","38 (6), e2022PA004597",12,2023,"9600139200934857407","FsLZdJ3BAzkC","TRUE"
"A pseudoproxy emulation of the PAGES 2k database using a hierarchy of proxy system models","F Zhu, J Emile-Geay, KJ Anchukaitis, NP McKay, S Stevenson, Z Meng","Scientific Data","10 (1), 624",10,2023,"5857911782159587367","9shLKfS_uJEC","TRUE"
"Reconstructing postglacial hydrologic and environmental change in the eastern Kenai Peninsula lowlands using proxy data and mass balance modeling","E Broadman, DS Kaufman, RS Anderson, S Bogle, M Ford, D Fortin, ACG Henderson, JH Lacey, MJ Leng, NP McKay, SE Muñoz","Quaternary Research","107, 1-26",10,2022,"5721888281790691761","jlhcAiayVhoC","TRUE"
"Past and future warming–direct comparison on multi-century timescales","DS Kaufman, NP McKay","Climate of the Past","18 (4), 911-917",10,2022,"16959824490784861542","DXE8ND7PrJAC","TRUE"
"PAGES2k: Advances in climate field reconstructions","KJ Anchukaitis, N McKay","DUST","24, 98",10,2015,"2308706048131639282","IsPWOBWtZBwC","TRUE"
"A 16,000-yr-long sedimentary sequence from Lakes Peters and Schrader (Neruokpuk Lakes), northeastern Brooks Range, Alaska","CW Benson, DS Kaufman, NP McKay, E Schiefer, D Fortin","Quaternary Research","92 (3), 609-625",7,2019,"495107437792622768","__bU50VfleQC","TRUE"
"Using correlated tephras to refine radiocarbon-based age models, upper and lower Whitshed Lakes, south-central Alaska","PD Zander, DS Kaufman, NP McKay, SC Kuehn, ACG Henderson","Quaternary Geochronology","45, 9-22",7,2018,"2277802071565759363","SIv7DqKytYAC","TRUE"
"Lake dynamics modulate the air temperature variability recorded by sedimentary aquatic biomarkers: A Holocene case study from western Greenland","AA Cluett, EK Thomas, NP McKay, OC Cowling, IS Castañeda, C Morrill","Journal of Geophysical Research: Biogeosciences","128 (7), e2022JG007106",6,2023,"8537807321651325606","xGWFX6Gbr9MC","TRUE"
"Great Plains storm intensity since the last glacial controlled by spring surface warming","C Sun, TM Shanahan, PN DiNezio, NP McKay, PD Roy","Nature Geoscience","14 (12), 912-917",6,2021,"7500542979284356153","R-LXmdHK_14C","TRUE"
"An Arctic watershed observatory at Lake Peters, Alaska: weather–glacier–river–lake system data for 2015–2018","E Broadman, LL Thurston, E Schiefer, NP McKay, D Fortin, J Geck, MG Loso, M Nolan, SépH Arcusa, CW Benson, RA Ellerbroek, MP Erb, CC Routson, C Wiman, AJ Wong, DS Kaufman","Earth System Science Data","11 (4), 1957-1970",6,2019,"14962278560436985033","-uzm3Y7AvW0C","TRUE"
"A high-resolution climate record spanning the past 17 000 years recovered from Lake Ohau, South Island, New Zealand","RH Levy, GB Dunbar, MJ Vandergoes, JD Howarth, T Kingan, AR Pyne, G Brotherston, M Clarke, B Dagg, M Hill, E Kenton, S Little, D Mandeno, C Moy, P Muldoon, P Doyle, C Raines, P Rutland, D Strong, M Terezow, L Cochrane, R Cossu, S Fitzsimons, F Florindo, AL Forrest, AR Gorman, DS Kaufman, MK Lee, X Li, P Lurcock, N McKay, F Nelson, J Purdie, HA Roop, SG Schladow, A Sood, P Upton, SL Walker, GS Wilson","Scientific Drilling","24, 41-50",6,2018,"2836432956531987313","kJDgFkosVoMC","TRUE"
"Arctic glacier snowline altitudes rise 150 m over the last 4 decades","LJ Larocca, JM Lea, MP Erb, NP McKay, M Phillips, KA Lamantia, DS Kaufman","The Cryosphere","18 (8), 3591-3611",5,2024,"11912863185865551967","xyvS_IvSCKsC","TRUE"
"A multidisciplinary approach to Late Quaternary paleoclimatology with an emphasis on sub-Saharan West Africa and the last interglacial period","NP McKay","The University of Arizona.","",5,2012,"18062559885161837911","zYLM7Y9cAGgC","TRUE"
"Late Holocene climate at Hallet and Greyling Lakes, central Chugach Range, south-central Alaska","N McKay","Northern Arizona University","",5,2007,"2308096965561864456","2osOgNQ5qMEC","TRUE"
"Sedimentary ancient DNA reveals the impact of anthropogenic land use disturbance and ecological shifts on fish community structure in small lowland lake","G Thomson-Laing, JD Howarth, J Atalah, MJ Vandergoes, X Li, JK Pearman, S Fitzsimons, C Moy, A Moody, C Shepherd, N McKay, SA Wood","Science of The Total Environment","922, 171266",5,2024,"5972260970709807955","Y9VhQm-5nPIC","TRUE"
"Organic‐Matter Accumulation and Degradation in Holocene Permafrost Deposits Along a Central Alaska Hillslope","LP Marshall, DS Kaufman, RS Anderson, NP McKay, EAG Schuur","Journal of Geophysical Research: Biogeosciences","128 (9), e2022JG007290",4,2023,"17194192664023133554","9NZAP19TdFAC","TRUE"
"Paleoclimate data standards","J Emile-Geay, NP McKay","Past Global Change Magazine","24 (1)",4,2016,"17901486253849643721","27LrP4qxOz0C","TRUE"
"A paleoecological investigation of recent cyanobacterial blooms and their drivers in two contrasting lakes","C Wheeler, JK Pearman, JD Howarth, MJ Vandergoes, K Holt, SA Trewick, X Li, L Thompson, G Thomson-Laing, M Picard, C Moy, NP Mckay, A Moody, C Shepherd, Vvd Bos, K Steiner, SA Wood","Harmful algae","131, 102563",3,2024,"4577958084034537536","kUhpeDhEZMUC","TRUE"
"Early Holocene Laurentide ice sheet retreat influenced summer atmospheric circulation in Baffin Bay","EK Thomas, AA Cluett, MP Erb, NP McKay, JP Briner, IS Castañeda, MC Corcoran, OC Cowling, DB Gorbey, KR Lindberg, KK Prince, J Salacup","Geophysical Research Letters","50 (13), e2023GL103428",3,2023,"6865550974766852093","KTwcwpFFj4wC","TRUE"
"A 2300-year record of glacier fluctuations at Skilak and Eklutna Lakes, south-central Alaska","JE Thomas, DS Kaufman, N Praet, NP McKay, MV Daele, BJL Jensen, MD Batist","Quaternary Science Reviews","272, 107215",3,2021,"12142561782467486024","m4fbC6XIj1kC","TRUE"
"Fluvial suspended sediment transfer and lacustrine sedimentation of recent flood turbidites in proglacial Eklutna Lake, western Chugach Mountains, Alaska","E Schiefer, J Geck, JS Ostman, NP McKay, N Praet, MG Loso, DS Kaufman","Hydrological processes","35 (10), e14375",3,2021,"9965581864490842732","AZju0d2GQJ0C","TRUE"
"Modelling suspended sediment discharge in a glaciated Arctic catchment–Lake Peters, northeast Brooks Range, Alaska","LL Thurston, E Schiefer, NP McKay, DS Kaufman","Hydrological Processes","34 (19), 3910-3927",3,2020,"6592140554867632702","mel-f30kHHgC","TRUE"
"The Linked Earth Ontology: A modular, extensible representation of open paleoclimate data","J Emile‐Geay, D Khider, D Garijo, NP McKay, Y Gil, V Ratnakar, E Bradley","Zenodo","",3,2019,"7840286838908176706","-DxkuPiZhfEC","TRUE"
"The Hunt for Holocene Abrupt Climate Change","N Scroxton, N McKay","PLOS Climate","3 (12), e0000547",2,2024,"11901197265075752334","0sTkTiv_uMkC","TRUE"
"Suspended sediment deposition and sediment yields at Lake Peters, northeast Brooks Range, Alaska: Fluvial‐and lake‐based approaches","LL Thurston, E Schiefer, NP McKay, DS Kaufman","Earth Surface Processes and Landforms","48 (13), 2521-2535",2,2023,"12526123040742972945","3_LpOwP6eMYC","TRUE"
"LinkedEarth: Supporting paleoclimate data standards and crowd curation","J Emile-Geay, D Khider, N McKay, Y Gil, D Garijo, V Ratnakar","Past Global Change Magazine","26 (2), 62-63",2,2018,"1773524139315025492","H7nrzBkawXsC","TRUE"
"linked paleo data: a resource for open, reproducible, and efficient paleoclimatology","NP McKay, J Emile-Geay","Past Global Change Magazine","26 (2), 71-71",2,2018,"15980221599483213087","2vr6o8x5NLkC","TRUE"
"Evidence for millennial-scale interactions between Hg cycling and hydroclimate from Lake Bosumtwi, Ghana","AR Paine, J Frieling, TM Shanahan, TA Mather, N McKay, SA Robinson, DM Pyle, IM Fendley, R Kiely, WD Gosling","Climate of the Past","21 (4), 817-839",2,2025,"9947650544272744425,6049714921083960282","E7VqQtBCVmcC","TRUE"
